Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Swades,2004.0,189.0,Drama,8.2,85340.0,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,22.0,1,9,37,246,323,Drama Ashutosh Gowariker Shah Rukh Khan Gayatri Joshi
Swami,1977.0,129.0,Drama,6.5,196.0,Basu Chatterjee,Shabana Azmi,Girish Karnad,Utpal Dutt,49.0,1,23,37,246,390,Drama Basu Chatterjee Shabana Azmi Girish Karnad
Swami,2007.0,140.0,Drama,6.8,374.0,Ganesh Acharya,Manoj Bajpayee,Juhi Chawla,Maninder Wasu,19.0,1,3,27,246,656,Drama Ganesh Acharya Manoj Bajpayee Juhi Chawla
Swami Ayyappan,2012.0,90.0,"Animation, Action, Adventure",7.6,37.0,Chetan Sharma,Mahesh Vettiyar,Unknown,Unknown,14.0,3,1,1,113,477,"Animation, Action, Adventure Chetan Sharma Mahesh Vettiyar Unknown"
Swami Dada,1982.0,151.0,"Action, Drama",6.3,87.0,Dev Anand,T.K. Desai,Dev Anand,Mithun Chakraborty,44.0,2,11,1,38,539,"Action, Drama Dev Anand T.K. Desai Dev Anand"
Swaraaj,2003.0,90.0,Unknown,6.9,19.0,Anwar Jamal,Alka Amin,Tannishtha Chatterjee,Mandakini Goswami,23.0,1,1,2,392,255,Unknown Anwar Jamal Alka Amin Tannishtha Chatterjee
Swarg,1990.0,160.0,Drama,6.7,1255.0,David Dhawan,Rajesh Khanna,Govinda,Madhavi,36.0,1,41,74,246,505,Drama David Dhawan Rajesh Khanna Govinda
Swarg Narak,1978.0,164.0,"Comedy, Drama, Romance",5.5,57.0,Narayana Rao Dasari,Sanjeev Kumar,Jeetendra,Vinod Mehra,48.0,3,11,53,162,1340,"Comedy, Drama, Romance Narayana Rao Dasari Sanjeev Kumar Jeetendra"
Swati,1986.0,151.0,Drama,6.7,103.0,Kranthi Kumar,Shashi Kapoor,Sharmila Tagore,Meenakshi Sheshadri,40.0,1,1,81,246,1058,Drama Kranthi Kumar Shashi Kapoor Sharmila Tagore
Swayamvar,1980.0,161.0,"Comedy, Drama, Romance",7.4,85.0,P. Sambasiva Rao,Shashi Kapoor,Sanjeev Kumar,Moushumi Chatterjee,46.0,3,1,81,162,1411,"Comedy, Drama, Romance P. Sambasiva Rao Shashi Kapoor Sanjeev Kumar"
Sweekar Kiya Maine,1983.0,170.0,"Comedy, Drama",6.1,22.0,Zaheer D. Lari,Vinod Mehra,Shabana Azmi,Prema Narayan,43.0,2,1,9,154,2539,"Comedy, Drama Zaheer D. Lari Vinod Mehra Shabana Azmi"
Sweetiee Weds NRI,2017.0,116.0,"Comedy, Drama, Romance",3.4,244.0,Hasnain Hyderabadwala,Himansh Kohli,Zoya Afroz,Darshan Jariwala,9.0,3,5,3,162,742,"Comedy, Drama, Romance Hasnain Hyderabadwala Himansh Kohli Zoya Afroz"
Switchh,2021.0,130.0,"Action, Thriller",4.2,11.0,Mustufa Raj,Armen Grayg,Hanif Hilal,Naren Kumar,5.0,2,1,1,78,1308,"Action, Thriller Mustufa Raj Armen Grayg Hanif Hilal"
T for Taj Mahal,2018.0,104.0,Drama,8.7,93.0,Kireet Khurana,Subrat Dutta,Pitobash,Manoj Pahwa,8.0,1,2,4,246,1042,Drama Kireet Khurana Subrat Dutta Pitobash
Ta Ra Rum Pum,2007.0,153.0,"Comedy, Drama, Family",5.6,4409.0,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Javed Jaffrey,19.0,3,6,24,155,2165,"Comedy, Drama, Family Siddharth Anand Saif Ali Khan Rani Mukerji"
Taal,1999.0,179.0,"Drama, Musical, Romance",6.7,5068.0,Subhash Ghai,Akshaye Khanna,Anil Kapoor,Aishwarya Rai Bachchan,27.0,3,19,12,294,2218,"Drama, Musical, Romance Subhash Ghai Akshaye Khanna Anil Kapoor"
Taanashah,2020.0,101.0,"Action, Drama",7.3,25.0,Ritam Srivastav,Dilip Arya,Indraneel Bhattacharya,Shashi Chaturvedi,6.0,2,1,1,38,1812,"Action, Drama Ritam Srivastav Dilip Arya Indraneel Bhattacharya"
Taaqat,1995.0,180.0,"Crime, Romance",4.8,90.0,Talat Jani,Dharmendra,Shatrughan Sinha,Kajol,31.0,2,4,90,215,2339,"Crime, Romance Talat Jani Dharmendra Shatrughan Sinha"
Taarzan: The Wonder Car,2004.0,163.0,"Action, Fantasy, Thriller",4.5,2781.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vatsal Sheth,Ayesha Takia,22.0,3,18,18,60,31,"Action, Fantasy, Thriller Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla Vatsal Sheth"
Tabaahi: The Destroyer,1999.0,133.0,Action,4.4,21.0,Gopi Sapru,Mithun Chakraborty,Divya Dutta,Neelu Hasan,27.0,1,1,93,0,690,Action Gopi Sapru Mithun Chakraborty Divya Dutta
Table No. 21,2013.0,108.0,"Adventure, Drama, Thriller",7.2,11709.0,Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai,13.0,3,5,11,101,75,"Adventure, Drama, Thriller Aditya Datt Paresh Rawal Rajeev Khandelwal"
Tada,2003.0,154.0,Action,4.7,24.0,Sisir. P. Mishra,Ishrat Ali,Sadashiv Amrapurkar,Arjun,23.0,1,1,13,0,2174,Action Sisir. P. Mishra Ishrat Ali Sadashiv Amrapurkar
Tadap,1990.0,135.0,Drama,5.6,8.0,Sohanlal Kanwar,Sujata Mehta,Chunky Panday,Nana Patekar,36.0,1,3,2,246,2183,Drama Sohanlal Kanwar Sujata Mehta Chunky Panday
Tadipaar,1993.0,134.0,"Action, Drama",4.7,142.0,Mahesh Bhatt,Mithun Chakraborty,Pooja Bhatt,Anupam Kher,33.0,2,39,93,38,1142,"Action, Drama Mahesh Bhatt Mithun Chakraborty Pooja Bhatt"
Tahalka,1992.0,168.0,"Action, Adventure, Thriller",5.7,316.0,Anil Sharma,Dharmendra,Naseeruddin Shah,Mukesh Khanna,34.0,3,13,90,14,220,"Action, Adventure, Thriller Anil Sharma Dharmendra Naseeruddin Shah"
Tahkhana,1986.0,117.0,"Action, Drama, Horror",5.4,169.0,Shyam Ramsay,Tulsi Ramsay,Rana Jung Bahadur,Hemant Birje,40.0,3,20,17,43,2162,"Action, Drama, Horror Shyam Ramsay Tulsi Ramsay Rana Jung Bahadur"
Tahqiqaat,1993.0,139.0,"Crime, Mystery",5.3,26.0,A. Jagannathan,Mahesh Anand,Sulabha Arya,Laxmikant Berde,33.0,2,3,4,212,1,"Crime, Mystery A. Jagannathan Mahesh Anand Sulabha Arya"
Taish,2020.0,143.0,"Action, Thriller",7.5,3703.0,Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat,6.0,2,5,1,78,397,"Action, Thriller Bejoy Nambiar Jim Sarbh Harshvardhan Rane"
Taj,1956.0,138.0,"Drama, Music",6.6,8.0,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Bipin Gupta,70.0,2,3,14,288,1336,"Drama, Music Nandlal Jaswantlal Vyjayanthimala Pradeep Kumar"
Taj Mahal: A Monument of Love,2003.0,235.0,"Drama, History, Romance",6.7,51.0,Robin Khosla,Shahbaaz Khan,Kulbhushan Kharbanda,Raghu Khosla,23.0,3,1,1,279,1823,"Drama, History, Romance Robin Khosla Shahbaaz Khan Kulbhushan Kharbanda"
Taj Mahal: An Eternal Love Story,2005.0,164.0,"Drama, History, Musical",5.0,161.0,Akbar Khan,Zulfi Sayed,Sonya Jehan,Kabir Bedi,21.0,3,1,2,278,123,"Drama, History, Musical Akbar Khan Zulfi Sayed Sonya Jehan"
Tajurba,1981.0,140.0,"Action, Adventure",5.7,12.0,Nikhil Saini,Raj Babbar,Smita Patil,Naseeruddin Shah,45.0,2,1,20,1,1378,"Action, Adventure Nikhil Saini Raj Babbar Smita Patil"
Taking the Horse to Eat Jalebis,2019.0,121.0,Drama,6.1,50.0,Anamika Haksar,Ravindra Sahu,Raghuvir Yadav,Gopalan,7.0,1,1,1,246,186,Drama Anamika Haksar Ravindra Sahu Raghuvir Yadav
Takkar,1995.0,143.0,"Action, Crime, Drama",4.6,195.0,Bharat Rangachary,Naseeruddin Shah,Sunil Shetty,Sonali Bendre,31.0,3,5,43,28,408,"Action, Crime, Drama Bharat Rangachary Naseeruddin Shah Sunil Shetty"
Takkar,1980.0,157.0,Drama,5.4,36.0,K. Bapaiah,Sanjeev Kumar,Jeetendra,Zeenat Aman,46.0,1,22,53,246,921,Drama K. Bapaiah Sanjeev Kumar Jeetendra
Talaaq,1958.0,182.0,Drama,6.7,19.0,Mahesh Kaul,Rajendra Kumar,Kamini Kadam,Sajjan,68.0,1,6,22,246,1145,Drama Mahesh Kaul Rajendra Kumar Kamini Kadam
Talaash,2012.0,140.0,"Crime, Drama, Mystery",7.2,40234.0,Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor,14.0,3,3,1,202,1795,"Crime, Drama, Mystery Reema Kagti Priyamvada Narayanan Aamir Khan"
Talaash: The Hunt Begins...,2003.0,153.0,"Action, Drama, Mystery",4.7,1411.0,Suneel Darshan,Rakhee Gulzar,Akshay Kumar,Kareena Kapoor,23.0,3,9,25,46,2270,"Action, Drama, Mystery Suneel Darshan Rakhee Gulzar Akshay Kumar"
Talaashi,1996.0,157.0,"Crime, Drama",4.3,34.0,Shyam Ramsay,Tulsi Ramsay,Jackie Shroff,Juhi Chawla,30.0,2,20,17,196,2162,"Crime, Drama Shyam Ramsay Tulsi Ramsay Jackie Shroff"
Talash,1969.0,175.0,"Romance, Thriller",6.6,155.0,O.P. Ralhan,Rajendra Kumar,Sharmila Tagore,O.P. Ralhan,57.0,2,3,22,382,1400,"Romance, Thriller O.P. Ralhan Rajendra Kumar Sharmila Tagore"
Tales of Siva 1,2009.0,65.0,"Animation, Family, History",5.5,6.0,Renju Ramesh,Neenu Babu,Prosenjit Ganguly,Baiju Gopinath,17.0,3,2,1,128,1801,"Animation, Family, History Renju Ramesh Neenu Babu Prosenjit Ganguly"
Tales of Siva 2,2009.0,66.0,Animation,6.3,6.0,Renju Ramesh,Unknown,Unknown,Unknown,17.0,1,2,75,111,1801,Animation Renju Ramesh Unknown Unknown
Tallukh,2020.0,83.0,"Crime, Drama, Romance",5.4,56.0,Anurag Jha,Yash Krishnani,Anurag Jha,Harshita Awale,6.0,3,2,1,203,249,"Crime, Drama, Romance Anurag Jha Yash Krishnani Anurag Jha"
Talvar,2015.0,132.0,"Crime, Drama, Mystery",8.2,32313.0,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,11.0,3,6,17,202,1232,"Crime, Drama, Mystery Meghna Gulzar Irrfan Khan Konkona Sen Sharma"
Tamacha,1988.0,165.0,"Action, Romance",4.0,50.0,Ramesh Ahuja,Jeetendra,Rajinikanth,Amrita Singh,38.0,2,2,89,72,1741,"Action, Romance Ramesh Ahuja Jeetendra Rajinikanth"
Tamanchey: Pyar Mein Dil Pe Maar De Goli,2014.0,113.0,"Crime, Romance",4.4,308.0,Navneet Behal,Nikhil Dwivedi,Richa Chadha,Damandeep Singh,12.0,2,1,2,215,1356,"Crime, Romance Navneet Behal Nikhil Dwivedi Richa Chadha"
Tamanna,1998.0,127.0,Drama,6.8,302.0,Mahesh Bhatt,Paresh Rawal,Pooja Bhatt,Sharad S. Kapoor,28.0,1,39,11,246,1142,Drama Mahesh Bhatt Paresh Rawal Pooja Bhatt
Tamasha,1952.0,127.0,Drama,7.6,38.0,Phani Majumdar,Dev Anand,Meena Kumari,Bipin Gupta,74.0,1,6,55,246,1465,Drama Phani Majumdar Dev Anand Meena Kumari
Tamasha,2015.0,139.0,"Comedy, Drama, Romance",7.3,24623.0,Imtiaz Ali,Deepika Padukone,Ranbir Kapoor,Sushma Seth,11.0,3,8,8,162,778,"Comedy, Drama, Romance Imtiaz Ali Deepika Padukone Ranbir Kapoor"
Tan-Badan,1986.0,115.0,Drama,5.1,37.0,Anand,Govinda,Kushboo,Jyoti Patel,40.0,1,4,55,246,187,Drama Anand Govinda Kushboo
Tangewala,1972.0,139.0,"Action, Crime, Drama",5.6,29.0,Naresh Kumar,Rajendra Kumar,Mumtaz,Sujit Kumar,54.0,3,8,22,28,1344,"Action, Crime, Drama Naresh Kumar Rajendra Kumar Mumtaz"
Tangewali,1955.0,120.0,"Drama, Family",8.4,5.0,Lekhraj Bhakri,Shammi Kapoor,Balraj Sahni,Anita Guha,71.0,2,11,35,256,1114,"Drama, Family Lekhraj Bhakri Shammi Kapoor Balraj Sahni"
Tango Charlie,2005.0,142.0,"Action, Adventure, Drama",6.0,1789.0,Mani Shankar,Ajay Devgn,Bobby Deol,Sanjay Dutt,21.0,3,5,70,5,1175,"Action, Adventure, Drama Mani Shankar Ajay Devgn Bobby Deol"
Tanhaji: The Unsung Warrior,2020.0,135.0,"Action, Biography, Drama",7.6,22344.0,Om Raut,Ajay Devgn,Saif Ali Khan,Sharad Kelkar,6.0,3,1,70,16,1402,"Action, Biography, Drama Om Raut Ajay Devgn Saif Ali Khan"
Tank Cleaner,2021.0,155.0,Thriller,8.7,20.0,Parvinder Singh Wraich,Harkiran Kaur Wraich,Muntazir Ahmad,Sunny Gill Ambersariya,5.0,1,1,1,387,1454,Thriller Parvinder Singh Wraich Harkiran Kaur Wraich Muntazir Ahmad
Tansen,1943.0,122.0,"Drama, Musical, Romance",7.5,26.0,Jayant Desai,K.L. Saigal,Khurshid Begum,Mubarak,83.0,3,3,9,294,857,"Drama, Musical, Romance Jayant Desai K.L. Saigal Khurshid Begum"
Tanu Weds Manu,2011.0,113.0,"Comedy, Drama, Romance",6.8,13804.0,Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill,15.0,3,5,6,162,21,"Comedy, Drama, Romance Aanand L. Rai Madhavan Kangana Ranaut"
Tanu Weds Manu Returns,2015.0,128.0,"Comedy, Drama, Romance",7.6,26843.0,Aanand L. Rai,Kangana Ranaut,Madhavan,Jimmy Sheirgill,11.0,3,5,12,162,21,"Comedy, Drama, Romance Aanand L. Rai Kangana Ranaut Madhavan"
Tapasya,1976.0,133.0,"Drama, Family",7.2,48.0,Anil Ganguly,Rakhee Gulzar,Parikshit Sahni,Asrani,50.0,2,13,25,256,214,"Drama, Family Anil Ganguly Rakhee Gulzar Parikshit Sahni"
Tapish,2000.0,144.0,Drama,6.0,20.0,Jayprakkash Shaw,Tara Deshpande,Ellora Patnaik,Parvin Dabas,26.0,1,4,1,246,867,Drama Jayprakkash Shaw Tara Deshpande Ellora Patnaik
Taqdeer,1967.0,108.0,"Drama, Family",6.3,35.0,A. Salaam,Bharat Bhushan,Shalini,Farida Jalal,59.0,2,4,9,256,4,"Drama, Family A. Salaam Bharat Bhushan Shalini"
Taqdeer Ka Tamasha,1990.0,217.0,"Action, Crime, Drama",4.2,40.0,Anand Gaekwad,Jeetendra,Moushumi Chatterjee,Govinda,36.0,3,1,89,28,190,"Action, Crime, Drama Anand Gaekwad Jeetendra Moushumi Chatterjee"
Taqdeerwala,1995.0,162.0,"Action, Comedy, Fantasy",6.5,414.0,K. Muralimohana Rao,Venkatesh Daggubati,Raveena Tandon,Asrani,31.0,3,10,5,20,927,"Action, Comedy, Fantasy K. Muralimohana Rao Venkatesh Daggubati Raveena Tandon"
Tara Mira,2019.0,120.0,Drama,7.3,31.0,Rajiev Dhingra,Ranjit Bawa,Nazia Hussain,Gurpreet Ghuggi,7.0,1,1,1,246,1674,Drama Rajiev Dhingra Ranjit Bawa Nazia Hussain
Tara: The Journey of Love and Passion,2013.0,110.0,Drama,5.5,43.0,Kumar Raj,Rekha Rana,Rohan Shroff,Ashish Saleem,13.0,1,1,1,246,1080,Drama Kumar Raj Rekha Rana Rohan Shroff
Tarana,1979.0,111.0,"Musical, Romance",6.9,37.0,Deepak Bahry,Mithun Chakraborty,Ranjeeta Kaur,Master Bhagwan,47.0,2,13,93,358,521,"Musical, Romance Deepak Bahry Mithun Chakraborty Ranjeeta Kaur"
Tarang,1984.0,171.0,Drama,6.9,47.0,Kumar Shahani,Amol Palekar,Smita Patil,Shreeram Lagoo,42.0,1,4,13,246,1081,Drama Kumar Shahani Amol Palekar Smita Patil
Tarazu,1997.0,144.0,"Action, Crime, Drama",4.5,589.0,Vimal Kumar,Akshay Kumar,Sonali Bendre,Mohnish Bahl,29.0,3,5,82,28,2471,"Action, Crime, Drama Vimal Kumar Akshay Kumar Sonali Bendre"
Target,1995.0,122.0,Drama,7.6,73.0,Sandip Ray,Mohan Agashe,Barun Chakraborty,Champa,31.0,1,2,8,246,1971,Drama Sandip Ray Mohan Agashe Barun Chakraborty
Tarkeeb,1984.0,136.0,"Action, Crime, Drama",4.6,9.0,Ravikant Nagaich,Mithun Chakraborty,Leena Das,Dinesh Hingoo,42.0,3,18,93,28,1786,"Action, Crime, Drama Ravikant Nagaich Mithun Chakraborty Leena Das"
Tarkieb,2000.0,156.0,"Mystery, Thriller",5.0,233.0,Esmayeel Shroff,Nana Patekar,Tabu,Shilpa Shetty Kundra,26.0,2,9,18,370,611,"Mystery, Thriller Esmayeel Shroff Nana Patekar Tabu"
Tarpan (The Absolution),1995.0,140.0,"Drama, History",7.2,67.0,K. Bikram Singh,Savita Bajaj,Babita Bhardwaj,Pradeep Bhatnagar,31.0,2,1,2,277,922,"Drama, History K. Bikram Singh Savita Bajaj Babita Bhardwaj"
Tarpan: The Salvation,2019.0,104.0,Drama,8.1,31.0,Neelam r Singh,Vandana Asthana,Rahul Chahan,Poonam Ingle,7.0,1,1,1,246,1358,Drama Neelam r Singh Vandana Asthana Rahul Chahan
Tarzan 303,1970.0,131.0,Action,3.8,6.0,Chandrakant,Chandgiram,Shabnam,K.N. Singh,56.0,1,6,1,0,465,Action Chandrakant Chandgiram Shabnam
Tarzan and King Kong,1965.0,128.0,"Action, Adventure, Romance",5.6,27.0,A. Shamsheer,Randhawa,Mumtaz,Bela Bose,61.0,3,2,3,12,5,"Action, Adventure, Romance A. Shamsheer Randhawa Mumtaz"
Tarzan Aur Jadui Chirag,1966.0,136.0,Adventure,3.8,9.0,Baboobhai Bhanji,Azaad Irani,Sunita,B.M. Vyas,60.0,1,1,1,84,375,Adventure Baboobhai Bhanji Azaad Irani Sunita
Tarzan's Daughter,2002.0,99.0,"Action, Adventure, Musical",4.5,11.0,Pratap Singh,Hemant Birje,Ritika Singh,Raza Murad,24.0,3,1,8,10,1514,"Action, Adventure, Musical Pratap Singh Hemant Birje Ritika Singh"
Tashan,2008.0,120.0,"Action, Drama, Romance",3.9,5037.0,Vijay Krishna Acharya,Akshay Kumar,Saif Ali Khan,Kareena Kapoor,18.0,3,3,82,47,2444,"Action, Drama, Romance Vijay Krishna Acharya Akshay Kumar Saif Ali Khan"
Tathagatha Buddha The Life & Times of Gautama Buddha,2008.0,127.0,"Biography, Drama",6.9,14.0,Sridhar Allani,Sunil Sharma,Parvati Melton,Surendra Pal,18.0,2,1,1,134,2198,"Biography, Drama Sridhar Allani Sunil Sharma Parvati Melton"
Tathastu,2006.0,113.0,"Crime, Drama, Thriller",4.4,460.0,Anubhav Sinha,Sanjay Dutt,Ameesha Patel,Jaya Prada,20.0,3,10,61,204,241,"Crime, Drama, Thriller Anubhav Sinha Sanjay Dutt Ameesha Patel"
Tauba Tauba,2004.0,121.0,"Comedy, Drama",2.6,93.0,T.L.V. Prasad,Laxmikant Berde,Bobby Darling,Amin Gazi,22.0,2,15,3,154,2331,"Comedy, Drama T.L.V. Prasad Laxmikant Berde Bobby Darling"
Tawai: A Voice from the Forest,2017.0,101.0,Documentary,7.4,238.0,Bruce Parry,Mark Ellam,Bruce Parry,Ingrid Lewis,9.0,1,1,1,218,440,Documentary Bruce Parry Mark Ellam Bruce Parry
Tawaif,1985.0,160.0,"Comedy, Drama, Romance",7.1,104.0,B.R. Chopra,Ashok Kumar,Rishi Kapoor,Rati Agnihotri,41.0,3,15,91,162,368,"Comedy, Drama, Romance B.R. Chopra Ashok Kumar Rishi Kapoor"
Taxi Chor,1980.0,103.0,"Crime, Thriller",5.2,20.0,Sushil Vyas,Indira Bansal,Master Bhagwan,Abhi Bhattacharya,46.0,2,1,1,217,2313,"Crime, Thriller Sushil Vyas Indira Bansal Master Bhagwan"
Taxi Driver,1954.0,133.0,"Musical, Romance",6.9,257.0,Chetan Anand,Dev Anand,Kalpana Kartik,Sheila Ramani,72.0,2,12,55,358,475,"Musical, Romance Chetan Anand Dev Anand Kalpana Kartik"
Taxi Driver,1973.0,118.0,Romance,6.3,30.0,Mohammed Hussain,Ashok Kumar,Nirupa Roy,Bhisham Kohli,53.0,1,8,91,371,1255,Romance Mohammed Hussain Ashok Kumar Nirupa Roy
Taxi No. 9 2 11: Nau Do Gyarah,2006.0,116.0,"Comedy, Drama, Thriller",7.3,9418.0,Milan Luthria,John Abraham,Nana Patekar,Sonali Kulkarni,20.0,3,9,22,165,1242,"Comedy, Drama, Thriller Milan Luthria John Abraham Nana Patekar"
Taxi Taxie,1977.0,123.0,"Adventure, Comedy, Drama",6.4,37.0,Irshad,Amol Palekar,Zaheera,Reena Roy,49.0,3,1,13,88,795,"Adventure, Comedy, Drama Irshad Amol Palekar Zaheera"
Te3n,2016.0,136.0,"Drama, Mystery, Thriller",7.3,12118.0,Ribhu Dasgupta,Amitabh Bachchan,Nawazuddin Siddiqui,Vidya Balan,10.0,3,3,104,300,1805,"Drama, Mystery, Thriller Ribhu Dasgupta Amitabh Bachchan Nawazuddin Siddiqui"
Team: The Force,2009.0,115.0,"Action, Comedy",4.0,68.0,Ajay Chandhok,Sohail Khan,Amrita Arora,Yash Tonk,17.0,2,5,6,17,95,"Action, Comedy Ajay Chandhok Sohail Khan Amrita Arora"
Teen Bahuraniyan,1968.0,160.0,Comedy,6.8,53.0,S.S. Balan,S.S. Vasan,Prithviraj Kapoor,Agha,58.0,1,4,2,145,1885,Comedy S.S. Balan S.S. Vasan Prithviraj Kapoor
Teen Chor,1973.0,126.0,"Action, Crime, Drama",5.8,9.0,Dada Mirasi,Vinod Mehra,Sulochana Latkar,Jeevan,53.0,3,1,9,28,493,"Action, Crime, Drama Dada Mirasi Vinod Mehra Sulochana Latkar"
Teen Devian,1965.0,121.0,"Musical, Romance",6.9,182.0,Amarjeet,Dev Anand,Nanda,Simi Garewal,61.0,2,3,55,358,153,"Musical, Romance Amarjeet Dev Anand Nanda"
Teen Patti,2010.0,140.0,"Crime, Drama, Thriller",4.1,1457.0,Leena Yadav,Amitabh Bachchan,Madhavan,Shraddha Kapoor,16.0,3,4,104,204,1112,"Crime, Drama, Thriller Leena Yadav Amitabh Bachchan Madhavan"
Teen Sardar,1965.0,125.0,"Action, Adventure, Drama",6.3,10.0,Radhakant,Randhawa,Azaad Irani,Parveen Choudhary,61.0,3,7,3,5,1584,"Action, Adventure, Drama Radhakant Randhawa Azaad Irani"
Teen Sau Din Ke Baad,1938.0,158.0,Adventure,6.4,10.0,Sarvottam Badami,Sabita Devi,Motilal,Bibbo,88.0,1,1,1,84,2024,Adventure Sarvottam Badami Sabita Devi Motilal
Teen Taal,2016.0,120.0,Drama,7.5,27.0,Shakirul Alam,Gaurav Chowdhary,Shakirul Alam,Ravi Shankar Chowdhary,10.0,1,1,1,246,2070,Drama Shakirul Alam Gaurav Chowdhary Shakirul Alam
Tees Maar Khan,2010.0,135.0,"Comedy, Crime",2.6,11981.0,Farah Khan,Akshay Kumar,Katrina Kaif,Akshaye Khanna,16.0,2,4,82,147,621,"Comedy, Crime Farah Khan Akshay Kumar Katrina Kaif"
Teesra Kaun,1965.0,127.0,"Action, Crime, Drama",6.3,17.0,Mohammed Hussain,Feroz Khan,Shashikala,Shyam Kumar,61.0,3,8,21,28,1255,"Action, Crime, Drama Mohammed Hussain Feroz Khan Shashikala"
Teesra Kaun?,1994.0,160.0,"Comedy, Thriller",5.2,133.0,Partho Ghosh,Mithun Chakraborty,Chunky Panday,Somy Ali,32.0,2,14,93,193,1448,"Comedy, Thriller Partho Ghosh Mithun Chakraborty Chunky Panday"
Teesri Aankh,1982.0,151.0,"Action, Thriller",6.4,73.0,Subodh Mukherji,Dharmendra,Shatrughan Sinha,Zeenat Aman,44.0,2,8,90,78,2224,"Action, Thriller Subodh Mukherji Dharmendra Shatrughan Sinha"
Teesri Aankh: The Hidden Camera,2006.0,111.0,"Action, Crime, Thriller",2.6,300.0,Harry Baweja,Sunny Deol,Ameesha Patel,Neha Dhupia,20.0,3,11,53,37,737,"Action, Crime, Thriller Harry Baweja Sunny Deol Ameesha Patel"
Teesri Kasam,1966.0,159.0,"Comedy, Drama, Romance",7.9,746.0,Basu Bhattacharya,Raj Kapoor,Waheeda Rehman,Dulari,60.0,3,5,31,162,389,"Comedy, Drama, Romance Basu Bhattacharya Raj Kapoor Waheeda Rehman"
Teesri Manzil,1966.0,172.0,"Comedy, Musical, Mystery",7.7,1135.0,Vijay Anand,Shammi Kapoor,Asha Parekh,Raj Mehra,60.0,3,11,35,182,2437,"Comedy, Musical, Mystery Vijay Anand Shammi Kapoor Asha Parekh"
Tehzeeb,2003.0,143.0,Drama,5.9,525.0,Khalid Mohamed,Shabana Azmi,Urmila Matondkar,Arjun Rampal,23.0,1,3,37,246,1033,Drama Khalid Mohamed Shabana Azmi Urmila Matondkar
Tejasvini,1994.0,169.0,"Action, Drama",6.3,89.0,N. Chandra,Deepak Malhotra,Vijayshanti,Charan Raj,32.0,2,11,1,38,1311,"Action, Drama N. Chandra Deepak Malhotra Vijayshanti"
Telephone,1985.0,116.0,Thriller,6.3,27.0,Shyam Ramsay,Tulsi Ramsay,Shatrughan Sinha,Parveen Babi,41.0,1,20,17,387,2162,Thriller Shyam Ramsay Tulsi Ramsay Shatrughan Sinha
Tell Me O Kkhuda,2011.0,125.0,"Action, Crime, Drama",2.5,351.0,Hema Malini,Dharmendra,Vinod Khanna,Rishi Kapoor,15.0,3,2,90,28,745,"Action, Crime, Drama Hema Malini Dharmendra Vinod Khanna"
Ten,2005.0,152.0,"Action, Crime, Drama",5.5,3182.0,Anubhav Sinha,Sanjay Dutt,Sunil Shetty,Abhishek Bachchan,21.0,3,10,61,28,241,"Action, Crime, Drama Anubhav Sinha Sanjay Dutt Sunil Shetty"
Tennis Buddies,2019.0,153.0,Drama,5.4,43.0,Sohail Tatari,Dakshita Patel,Madhu Anand Chandhock,Divya Dutta,7.0,1,3,1,246,2180,Drama Sohail Tatari Dakshita Patel Madhu Anand Chandhock
Tera Intezaar,2017.0,108.0,"Romance, Thriller",1.8,262.0,Raajeev Walia,Arbaaz Khan,Sunny Leone,Bhani Singh,9.0,2,1,3,382,1578,"Romance, Thriller Raajeev Walia Arbaaz Khan Sunny Leone"
Tera Jadoo Chal Gayaa,2000.0,143.0,"Musical, Romance",3.0,560.0,A. Muthu,Abhishek Bachchan,Kirti Reddy,Sanjay Suri,26.0,2,1,16,358,3,"Musical, Romance A. Muthu Abhishek Bachchan Kirti Reddy"
Tera Kya Hoga Johnny,2009.0,155.0,"Crime, Drama, Thriller",6.0,210.0,Sudhir Mishra,Neil Nitin Mukesh,Sikandar Agarwal,Aditya Bhattacharya,17.0,3,12,5,204,2238,"Crime, Drama, Thriller Sudhir Mishra Neil Nitin Mukesh Sikandar Agarwal"
Tera Mera Saath Rahen,2001.0,148.0,Drama,4.9,311.0,Mahesh Manjrekar,Ajay Devgn,Sonali Bendre,Namrata Shirodkar,25.0,1,18,70,246,1148,Drama Mahesh Manjrekar Ajay Devgn Sonali Bendre
