Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Movie_Age,Genre_Count,Director_Frequency,Actor1_Frequency,Genre_Encoded,Director_Encoded,combined_features
Om Dar-B-Dar,1988.0,101.0,Drama,7.1,438.0,Kamal Swaroop,Anita Kanwar,Gopi Desai,Lalit Tiwari,38.0,1,2,2,246,980,Drama Kamal Swaroop Anita Kanwar Gopi Desai
Om Jai Jagadish,2002.0,172.0,"Drama, Musical",5.5,1911.0,Anupam Kher,Waheeda Rehman,Anil Kapoor,Fardeen Khan,24.0,2,1,11,291,246,"Drama, Musical Anupam Kher Waheeda Rehman Anil Kapoor"
Om Shanti Om,2007.0,162.0,"Action, Comedy, Drama",6.7,40120.0,Farah Khan,Shah Rukh Khan,Deepika Padukone,Arjun Rampal,19.0,3,4,37,19,621,"Action, Comedy, Drama Farah Khan Shah Rukh Khan Deepika Padukone"
Omerta,2017.0,98.0,"Action, Biography, Crime",7.2,2851.0,Hansal Mehta,Rajkummar Rao,Rajesh Tailang,Satwant Kaur,9.0,3,8,11,15,722,"Action, Biography, Crime Hansal Mehta Rajkummar Rao Rajesh Tailang"
OMG: Oh My God!,2012.0,125.0,"Comedy, Drama, Fantasy",8.1,53454.0,Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,14.0,3,4,11,156,2389,"Comedy, Drama, Fantasy Umesh Shukla Paresh Rawal Akshay Kumar"
Omkara,2006.0,155.0,"Action, Crime, Drama",8.1,19631.0,Vishal Bhardwaj,Ajay Devgn,Kareena Kapoor,Saif Ali Khan,20.0,3,10,70,28,2495,"Action, Crime, Drama Vishal Bhardwaj Ajay Devgn Kareena Kapoor"
Omprakash Zindabad,2020.0,130.0,"Comedy, Drama",4.9,12.0,Ranjeet Gupta,Seema Azmi,Shweta Bhardwaj,Zakir Hussain,6.0,2,1,3,154,1763,"Comedy, Drama Ranjeet Gupta Seema Azmi Shweta Bhardwaj"
Once Again,2018.0,101.0,"Drama, Romance",7.0,869.0,Kanwal Sethi,Shefali Shah,Neeraj Kabi,Bidita Bag,8.0,2,2,2,301,993,"Drama, Romance Kanwal Sethi Shefali Shah Neeraj Kabi"
Once Upon a Time in Bihar,2015.0,122.0,Thriller,6.7,193.0,Nitin Chandra,Kranti Prakash Jha,Pankaj Jha,Ajay Kumar,11.0,1,1,1,387,1389,Thriller Nitin Chandra Kranti Prakash Jha Pankaj Jha
Once Upon a Time in Mumbaai,2010.0,134.0,"Action, Crime, Drama",7.4,16677.0,Milan Luthria,Ajay Devgn,Emraan Hashmi,Kangana Ranaut,16.0,3,9,70,28,1242,"Action, Crime, Drama Milan Luthria Ajay Devgn Emraan Hashmi"
Once Upon a Time in Mumbaai Dobara,2013.0,160.0,"Action, Crime, Drama",4.6,6839.0,Milan Luthria,Akshay Kumar,Imran Khan,Sonakshi Sinha,13.0,3,9,82,28,1242,"Action, Crime, Drama Milan Luthria Akshay Kumar Imran Khan"
One 2 Ka 4,2001.0,169.0,"Action, Comedy, Crime",5.4,4870.0,Shashilal K. Nair,Shah Rukh Khan,Jackie Shroff,Juhi Chawla,25.0,3,7,37,18,2104,"Action, Comedy, Crime Shashilal K. Nair Shah Rukh Khan Jackie Shroff"
One by Two,2014.0,139.0,"Comedy, Drama, Romance",4.2,722.0,Devika Bhagat,Abhay Deol,Preeti Desai,Lillete Dubey,12.0,3,1,11,162,551,"Comedy, Drama, Romance Devika Bhagat Abhay Deol Preeti Desai"
One Crazy Ride,2009.0,87.0,Documentary,8.3,35.0,Gaurav Jani,Unknown,Unknown,Unknown,17.0,1,1,75,218,662,Documentary Gaurav Jani Unknown Unknown
One Day Before the Rainy Season,1971.0,114.0,"Biography, Drama",7.5,89.0,Mani Kaul,Aruna Irani,Arun Khopkar,Rekha Sabnis,55.0,2,9,3,134,1173,"Biography, Drama Mani Kaul Aruna Irani Arun Khopkar"
One Day: Justice Delivered,2019.0,124.0,"Action, Crime, Thriller",5.0,1055.0,Ashok Nanda,Anupam Kher,Kumud Mishra,Esha Gupta,7.0,3,3,15,37,316,"Action, Crime, Thriller Ashok Nanda Anupam Kher Kumud Mishra"
One Dollar Curry,2004.0,89.0,Comedy,5.6,39.0,Vijay Singh,Vikram Chatwal,Gabriella Wright,Smriti Mishra,22.0,1,1,1,145,2454,Comedy Vijay Singh Vikram Chatwal Gabriella Wright
One More...,2012.0,90.0,"Drama, Sport",6.8,13.0,Shivajee Chandrabhushan,Karan Sharma,David Ropmay,Unknown,14.0,2,2,2,308,2131,"Drama, Sport Shivajee Chandrabhushan Karan Sharma David Ropmay"
One Night Out,2018.0,129.0,Thriller,7.0,15.0,Ravinddra Khare,Kabina Maharjan,Gulshan Pandey,Javed Rizvi,8.0,1,3,1,387,1787,Thriller Ravinddra Khare Kabina Maharjan Gulshan Pandey
One Night Stand,2016.0,97.0,"Drama, Romance",3.1,1167.0,Jasmine D'Souza,Tanuj Virwani,Sunny Leone,Narendra Jetley,10.0,2,1,3,301,849,"Drama, Romance Jasmine D'Souza Tanuj Virwani Sunny Leone"
One Two Three,2008.0,135.0,"Comedy, Crime",5.3,2511.0,Ashwani Dhir,Tusshar Kapoor,Sunil Shetty,Paresh Rawal,18.0,2,4,15,147,325,"Comedy, Crime Ashwani Dhir Tusshar Kapoor Sunil Shetty"
Only You,1999.0,150.0,"Romance, Drama",6.1,1426.0,Ahathian,Sanjay Kapoor,Priya Gill,Sushmita Sen,27.0,2,2,6,376,88,"Romance, Drama Ahathian Sanjay Kapoor Priya Gill"
Oonch Neech Beech,1989.0,126.0,"Drama, Family",6.4,11.0,Wasi Khan,Prayag Raj,Sanjeev Kumar,Shabana Azmi,37.0,2,1,2,256,2516,"Drama, Family Wasi Khan Prayag Raj Sanjeev Kumar"
Oonche Log,1965.0,144.0,"Drama, Romance, Thriller",7.4,46.0,Phani Majumdar,Ashok Kumar,Raaj Kumar,Feroz Khan,61.0,3,6,91,305,1465,"Drama, Romance, Thriller Phani Majumdar Ashok Kumar Raaj Kumar"
Oonga,2013.0,98.0,"Adventure, Drama",6.9,51.0,Devashish Makhija,Raju Singh,Seema Biswas,Priyanka Bose,13.0,2,3,1,92,544,"Adventure, Drama Devashish Makhija Raju Singh Seema Biswas"
Ooops a Desi,2013.0,126.0,Thriller,6.2,176.0,C. Jenner Jose,BuAli Shah,Pragathi Yadhati,Adnan Khalid,13.0,1,1,1,387,445,Thriller C. Jenner Jose BuAli Shah Pragathi Yadhati
Oops!,2003.0,109.0,"Comedy, Drama",3.5,93.0,Deepak Tijori,Kiran Janjani,Vikas Sethi,Adyasha,23.0,2,6,1,154,531,"Comedy, Drama Deepak Tijori Kiran Janjani Vikas Sethi"
Opera House,1961.0,107.0,"Action, Crime, Drama",5.5,14.0,P.L. Santoshi,Saroja Devi B.,Ajit,K.N. Singh,65.0,3,5,2,28,1417,"Action, Crime, Drama P.L. Santoshi Saroja Devi B. Ajit"
Operation Jackpot,1968.0,146.0,"Action, Mystery",8.0,26.0,Dhorairaj Bhagavan,T.R. Narasimharaju,Niranjan,Rajkumar,58.0,2,2,1,69,567,"Action, Mystery Dhorairaj Bhagavan T.R. Narasimharaju Niranjan"
Operation Parindey,2020.0,60.0,"Action, Drama, Thriller",4.7,349.0,Sanjay Gadhvi,Amit Sadh,Rucha Inamdar,Rahul Dev,6.0,3,7,5,49,1980,"Action, Drama, Thriller Sanjay Gadhvi Amit Sadh Rucha Inamdar"
Oraalppokkam,2014.0,99.0,"Drama, Fantasy, Mystery",7.0,108.0,Sanal Kumar Sasidharan,Prakash Bare,Meena Kandasamy,Samvid Anand,12.0,3,1,2,272,1960,"Drama, Fantasy, Mystery Sanal Kumar Sasidharan Prakash Bare Meena Kandasamy"
Ormakal Marikkumo?,1977.0,150.0,Drama,6.6,23.0,K.S. Sethumadhavan,Kamal Haasan,Shobha,Jayan,49.0,1,3,31,246,955,Drama K.S. Sethumadhavan Kamal Haasan Shobha
Oru Kaidhiyin Diary,1985.0,152.0,"Crime, Drama, Thriller",7.0,230.0,Bharathiraja,Kamal Haasan,Revathi,Radha,41.0,3,5,31,204,410,"Crime, Drama, Thriller Bharathiraja Kamal Haasan Revathi"
Out of a Jam,2015.0,59.0,Documentary,8.5,16.0,Shalini Harshwal,Linnet Mushran,Ramkali,Sunita Dhar,11.0,1,1,1,218,2074,Documentary Shalini Harshwal Linnet Mushran Ramkali
Out of Control,2003.0,124.0,"Comedy, Drama, Romance",3.3,241.0,Apurva Asrani,Ramanjit Juneja,Riteish Deshmukh,Brande Roderick,23.0,3,1,1,162,262,"Comedy, Drama, Romance Apurva Asrani Ramanjit Juneja Riteish Deshmukh"
